acetoneiso2 2.3-11
airwave-git r159.e44976c-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.4-2
android-apktool 2.4.1-1
android-ndk r21.d-1
android-sdk 26.1.1-1
android-sdk-build-tools r30.0.2-1
android-studio 4.1.1.0-1
android-udev-git 20200613.r0.ge5bc06e-1
aosp-devel 0.4-1
arandr 0.1.10-4
aspell-en 2019.10.06-1
autoconf 2.69-7
automake 1.16.2-3
base 2-2
bfg 1.13.0-3
binutils 2.35.1-1
bison 3.7.2-1
bleachbit 4.0.0-3
bless 0.6.3-1
bspwm-git 0.9.9.r3.gdf7c6cc-1
cadence-git 1:r1035.915065c-1
calibre 5.5.0-1
carla-bridges 2.1.0-1
carla-git 1:2.1.rc2.r0.g9249bebbf-1
chromaprint 1.5.0-3
chromium 87.0.4280.66-1
clang 11.0.0-1
clearine-git 0.7-3
clementine 1.4.0rc1+347+gfc4cb6fc7-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
conky-lua-nv 1.11.6-2
cpio 2.13-2
cpupower 5.9-1
dhcpcd 9.3.3-1
discord 0.0.12-2
dmenu 5.0-1
dmidecode 3.3-1
docker 1:19.03.13-1
docker-compose 1.27.4-1
downgrade 9.0.0-1
dtc 1.6.0-1
dunst 1.5.0-1
easymp3gain-gtk2 0.5.0-8
eclipse-common 4.16-7
efibootmgr 17-2
emby-server 4.5.2.0-1
emulationstation 2.9.4-1
emulationstation-autoscraper 1.4.6-1
exif 0.6.22-1
fakeroot 1.25.3-1
fbreader 0.99.4-9
feh 3.5-1
ffmpegthumbnailer 2.2.2-2
ffnvcodec-headers8.1 8.1.24.11-1
file 5.39-1
file-roller 3.38.0-1
findutils 4.7.0-2
firefox-beta-bin 84.0b4-1
flex 2.6.4-3
fzf 0.24.3-1
gawk 5.1.0-1
gcc 10.2.0-3
gdb 10.1-2
gettext 0.21-1
gimp 2.10.22-1
git 2.29.2-1
git-cola 3.7-1
git-extras 6.1.0-1
git-review 1.28.0-3
gksu 2.0.2-6
glances 3.1.5-1
gnome-disk-utility 3.38.0-1
go 2:1.15.5-2
gparted 1.1.0-1
